,A_Script Name,Exchange_Name,Previous Close,Todays Close,Todays Open
"Jan 23, 16:00",Tata Consultancy Services Ltd.,BSE,1900.35,1879.75,1900.00
"Jan 23, 16:00",Tata Consultancy Services Ltd.,NSE,1901.90,1875.60,1901.00
"Jan 23, 16:00",Tata Consultancy Services Ltd.,BSE,1900.35,1879.75,1900.00
"Jan 23, 16:00",Tata Consultancy Services Ltd.,NSE,1901.90,1875.60,1901.00
